gene,logistic,random_forest,mlp,n_models,numeric_gene_flag
ANKRD43,0,1,1,2,False
C1orf106,0,1,1,2,False
CYP2S1,0,1,1,2,False
FAM150B,0,1,1,2,False
GPRC5A,0,1,1,2,False
HOXC6,0,1,1,2,False
LIX1,0,1,1,2,False
LOC145837,0,1,1,2,False
LUM,0,1,1,2,False
MT1H,0,1,1,2,False
NOVA1,0,1,1,2,False
PRODH,0,1,1,2,False
PRR15L,0,1,1,2,False
RGN,0,1,1,2,False
RIC3,0,1,1,2,False
SCN4A,0,1,1,2,False
SFTPB,0,1,1,2,False
SYT1,0,1,1,2,False
CALML3,1,0,0,1,False
CCL13,1,0,0,1,False
COL9A3,1,0,0,1,False
CSF3,1,0,0,1,False
DEFB1,1,0,0,1,False
DMRT3,0,0,1,1,False
DMRTA1,1,0,0,1,False
DSC3,1,0,0,1,False
DSG3,1,0,0,1,False
ELFN2,1,0,0,1,False
GCNT3,1,0,0,1,False
GRIK3,1,0,0,1,False
GSTM1,1,0,0,1,False
KLK4,1,0,0,1,False
LASS3,0,1,0,1,False
LGSN,1,0,0,1,False
MAGEA11,1,0,0,1,False
ODAM,1,0,0,1,False
PPARGC1A,1,0,0,1,False
S100A7,1,0,0,1,False
SERPINB7,0,1,0,1,False
SPAG17,0,0,1,1,False
SST,1,0,0,1,False
XAGE1D,1,0,0,1,False
