gene,n_models,logistic,random_forest,mlp,numeric_gene_flag,rag_priority
ANKRD43,2,0,1,1,False,primary
C1orf106,2,0,1,1,False,primary
CYP2S1,2,0,1,1,False,primary
FAM150B,2,0,1,1,False,primary
GPRC5A,2,0,1,1,False,primary
HOXC6,2,0,1,1,False,primary
LIX1,2,0,1,1,False,primary
LOC145837,2,0,1,1,False,primary
LUM,2,0,1,1,False,primary
MT1H,2,0,1,1,False,primary
NOVA1,2,0,1,1,False,primary
PRODH,2,0,1,1,False,primary
PRR15L,2,0,1,1,False,primary
RGN,2,0,1,1,False,primary
RIC3,2,0,1,1,False,primary
SCN4A,2,0,1,1,False,primary
SFTPB,2,0,1,1,False,primary
SYT1,2,0,1,1,False,primary
CALML3,1,1,0,0,False,secondary
CCL13,1,1,0,0,False,secondary
COL9A3,1,1,0,0,False,secondary
CSF3,1,1,0,0,False,secondary
DEFB1,1,1,0,0,False,secondary
DMRT3,1,0,0,1,False,secondary
DMRTA1,1,1,0,0,False,secondary
DSC3,1,1,0,0,False,secondary
DSG3,1,1,0,0,False,secondary
ELFN2,1,1,0,0,False,secondary
GCNT3,1,1,0,0,False,secondary
GRIK3,1,1,0,0,False,secondary
GSTM1,1,1,0,0,False,secondary
KLK4,1,1,0,0,False,secondary
LASS3,1,0,1,0,False,secondary
LGSN,1,1,0,0,False,secondary
MAGEA11,1,1,0,0,False,secondary
ODAM,1,1,0,0,False,secondary
PPARGC1A,1,1,0,0,False,secondary
S100A7,1,1,0,0,False,secondary
SERPINB7,1,0,1,0,False,secondary
SPAG17,1,0,0,1,False,secondary
SST,1,1,0,0,False,secondary
XAGE1D,1,1,0,0,False,secondary
