model,importance_kind,scope,cancer_type,rank,gene,importance,numeric_gene_flag
logistic,coefficient,per_class,BRCA,1,TCF21,0.182553,False
logistic,coefficient,per_class,BRCA,2,C8orf85,0.115115,False
logistic,coefficient,per_class,BRCA,3,TRPS1,0.109955,False
logistic,coefficient,per_class,BRCA,4,CDKL2,0.107808,False
logistic,coefficient,per_class,BRCA,5,LMX1B,0.107493,False
logistic,coefficient,per_class,BRCA,6,EN1,0.098481,False
logistic,coefficient,per_class,BRCA,7,HIF3A,0.086741,False
logistic,coefficient,per_class,BRCA,8,PDE4C,0.084787,False
logistic,coefficient,per_class,BRCA,9,MFAP5,0.083781,False
logistic,coefficient,per_class,BRCA,10,GATA3,0.083123,False
logistic,coefficient,per_class,COAD,1,CSF3,0.136572,False
logistic,coefficient,per_class,COAD,2,NOX1,0.12412,False
logistic,coefficient,per_class,COAD,3,MAB21L2,0.118392,False
logistic,coefficient,per_class,COAD,4,CDX1,0.113942,False
logistic,coefficient,per_class,COAD,5,MUC2,0.102148,False
logistic,coefficient,per_class,COAD,6,REG4,0.100279,False
logistic,coefficient,per_class,COAD,7,LGALS4,0.094806,False
logistic,coefficient,per_class,COAD,8,SPINK4,0.090702,False
logistic,coefficient,per_class,COAD,9,MMP3,0.089624,False
logistic,coefficient,per_class,COAD,10,MUC17,0.087848,False
logistic,coefficient,per_class,KIRC,1,FXYD2,0.118132,False
logistic,coefficient,per_class,KIRC,2,POU3F3,0.115577,False
logistic,coefficient,per_class,KIRC,3,C14orf105,0.114723,False
logistic,coefficient,per_class,KIRC,4,C20orf151,0.105491,False
logistic,coefficient,per_class,KIRC,5,S100A14,0.096081,False
logistic,coefficient,per_class,KIRC,6,OVOL2,0.094224,False
logistic,coefficient,per_class,KIRC,7,CDH16,0.091765,False
logistic,coefficient,per_class,KIRC,8,IGSF9,0.082241,False
logistic,coefficient,per_class,KIRC,9,WNK2,0.081956,False
logistic,coefficient,per_class,KIRC,10,ESRP1,0.081325,False
logistic,coefficient,per_class,LUAD,1,KLK4,0.260901,False
logistic,coefficient,per_class,LUAD,2,LGSN,0.250936,False
logistic,coefficient,per_class,LUAD,3,ELFN2,0.250922,False
logistic,coefficient,per_class,LUAD,4,XAGE1D,0.219772,False
logistic,coefficient,per_class,LUAD,5,CALML3,0.211142,False
logistic,coefficient,per_class,LUAD,6,CCL13,0.20278,False
logistic,coefficient,per_class,LUAD,7,PLUNC,0.191795,False
logistic,coefficient,per_class,LUAD,8,RNF212,0.18358,False
logistic,coefficient,per_class,LUAD,9,MAGEA11,0.17894,False
logistic,coefficient,per_class,LUAD,10,IGF2BP1,0.172498,False
logistic,coefficient,per_class,LUSC,1,CALML3,0.268854,False
logistic,coefficient,per_class,LUSC,2,GRIK3,0.195979,False
logistic,coefficient,per_class,LUSC,3,SLC44A5,0.189804,False
logistic,coefficient,per_class,LUSC,4,GSTM1,0.179172,False
logistic,coefficient,per_class,LUSC,5,KRT6A,0.171143,False
logistic,coefficient,per_class,LUSC,6,GNG4,0.16489,False
logistic,coefficient,per_class,LUSC,7,ODAM,0.158127,False
logistic,coefficient,per_class,LUSC,8,DMRTA1,0.151305,False
logistic,coefficient,per_class,LUSC,9,PTHLH,0.150077,False
logistic,coefficient,per_class,LUSC,10,DEFB1,0.145989,False
logistic,coefficient,per_class,THCA,1,OTOS,0.133652,False
logistic,coefficient,per_class,THCA,2,TPO,0.124582,False
logistic,coefficient,per_class,THCA,3,TSHR,0.107731,False
logistic,coefficient,per_class,THCA,4,TG,0.107534,False
logistic,coefficient,per_class,THCA,5,RMST,0.091,False
logistic,coefficient,per_class,THCA,6,GAL3ST3,0.084683,False
logistic,coefficient,per_class,THCA,7,CRYGN,0.080251,False
logistic,coefficient,per_class,THCA,8,MGAT4C,0.080121,False
logistic,coefficient,per_class,THCA,9,IYD,0.077973,False
logistic,coefficient,per_class,THCA,10,HHATL,0.074443,False
logistic,coefficient,overall,ALL,1,CALML3,0.079999,False
logistic,coefficient,overall,ALL,2,KLK4,0.064767,False
logistic,coefficient,overall,ALL,3,ELFN2,0.064707,False
logistic,coefficient,overall,ALL,4,DEFB1,0.055893,False
logistic,coefficient,overall,ALL,5,CCL13,0.055378,False
logistic,coefficient,overall,ALL,6,GSTM1,0.053441,False
logistic,coefficient,overall,ALL,7,GCNT3,0.052721,False
logistic,coefficient,overall,ALL,8,MAGEA11,0.05105,False
logistic,coefficient,overall,ALL,9,PPARGC1A,0.050518,False
logistic,coefficient,overall,ALL,10,SST,0.048784,False
logistic,coefficient,overall,ALL,11,COL9A3,0.046433,False
logistic,coefficient,overall,ALL,12,DMRTA1,0.046322,False
logistic,coefficient,overall,ALL,13,LGSN,0.046231,False
logistic,coefficient,overall,ALL,14,ODAM,0.045615,False
logistic,coefficient,overall,ALL,15,DSC3,0.044277,False
logistic,coefficient,overall,ALL,16,XAGE1D,0.043188,False
logistic,coefficient,overall,ALL,17,DSG3,0.042963,False
logistic,coefficient,overall,ALL,18,CSF3,0.042229,False
logistic,coefficient,overall,ALL,19,S100A7,0.042067,False
logistic,coefficient,overall,ALL,20,GRIK3,0.041315,False
logistic,coefficient,overall,ALL,21,RNF212,0.041278,False
logistic,coefficient,overall,ALL,22,NOS2,0.041258,False
logistic,coefficient,overall,ALL,23,IGF2BP1,0.040444,False
logistic,coefficient,overall,ALL,24,KRT6A,0.040409,False
logistic,coefficient,overall,ALL,25,WFDC2,0.039955,False
logistic,coefficient,overall,ALL,26,ZNHIT2,0.039881,False
logistic,coefficient,overall,ALL,27,PTHLH,0.039552,False
logistic,coefficient,overall,ALL,28,HOTAIR,0.038978,False
logistic,coefficient,overall,ALL,29,HIF3A,0.0384,False
logistic,coefficient,overall,ALL,30,ACTL8,0.03791,False
random_forest,permutation,per_class,BRCA,1,LASS3,0.0,False
random_forest,permutation,per_class,BRCA,2,HPX,0.0,False
random_forest,permutation,per_class,BRCA,3,PCDHA11,0.0,False
random_forest,permutation,per_class,BRCA,4,HOXC8,0.0,False
random_forest,permutation,per_class,BRCA,5,SHH,0.0,False
random_forest,permutation,per_class,BRCA,6,C5orf46,0.0,False
random_forest,permutation,per_class,BRCA,7,DBC1,0.0,False
random_forest,permutation,per_class,BRCA,8,ARL14,0.0,False
random_forest,permutation,per_class,BRCA,9,CALCA,0.0,False
random_forest,permutation,per_class,BRCA,10,OBP2B,0.0,False
random_forest,permutation,per_class,COAD,1,LASS3,0.0,False
random_forest,permutation,per_class,COAD,2,HPX,0.0,False
random_forest,permutation,per_class,COAD,3,PCDHA11,0.0,False
random_forest,permutation,per_class,COAD,4,HOXC8,0.0,False
random_forest,permutation,per_class,COAD,5,SHH,0.0,False
random_forest,permutation,per_class,COAD,6,C5orf46,0.0,False
random_forest,permutation,per_class,COAD,7,DBC1,0.0,False
random_forest,permutation,per_class,COAD,8,ARL14,0.0,False
random_forest,permutation,per_class,COAD,9,CALCA,0.0,False
random_forest,permutation,per_class,COAD,10,OBP2B,0.0,False
random_forest,permutation,per_class,KIRC,1,LASS3,0.0,False
random_forest,permutation,per_class,KIRC,2,HPX,0.0,False
random_forest,permutation,per_class,KIRC,3,PCDHA11,0.0,False
